Date,Open,High,Low,Close,Volume,ema_f,ema_s,rsi,adx,atr,long_entry,long_exit,label
2024-10-28 00:00:00+05:30,24251.1,24492.6,24134.9,24339.15,0,24832.347448547927,24969.92144521694,33.806495266042646,31.730353010317632,267.36010013714974,False,True,EXIT
2024-10-29 00:00:00+05:30,24328.85,24484.5,24140.85,24466.85,0,24799.120407770843,24950.19315324765,38.33784143973465,32.425831025169984,272.80937869878204,False,True,EXIT
2024-10-30 00:00:00+05:30,24371.45,24498.2,24307.3,24340.85,0,24757.45946160986,24926.297343316368,35.73822555503331,32.98277074806134,266.9587087917263,False,True,EXIT
2024-10-31 00:00:00+05:30,24349.85,24372.45,24172.6,24205.35,0,24707.267692372596,24898.024898480435,33.136054984816354,33.86364105447359,262.1652295923174,False,True,EXIT
2024-11-01 00:00:00+05:30,24302.75,24368.25,24280.2,24304.35,0,24670.638811247813,24874.743529912575,36.75916051889069,34.681592053284966,255.07485605000915,False,True,EXIT
2024-11-04 00:00:00+05:30,24315.75,24316.75,23816.15,23995.35,0,24609.248919316193,24840.257509131694,31.09552993344188,36.43295950192955,272.6123663321512,False,True,EXIT
2024-11-05 00:00:00+05:30,23916.5,24229.05,23842.75,24213.3,0,24573.25356301472,24815.670940146138,38.3148014807131,38.05922927567095,280.7329115941404,False,True,EXIT
2024-11-06 00:00:00+05:30,24308.75,24537.6,24204.05,24484.05,0,24565.1441481952,24802.66619739531,45.89804825138474,37.70730453313332,284.50556076598747,False,True,EXIT
2024-11-07 00:00:00+05:30,24489.6,24503.35,24179.05,24199.35,0,24531.890134722908,24779.006738673925,40.28928093159645,37.44779890759361,287.34802071127405,False,True,EXIT
2024-11-08 00:00:00+05:30,24207.7,24276.15,24066.65,24148.2,0,24497.00921338446,24754.269219510243,39.35869444040514,37.50750035443183,281.7874478033259,False,True,EXIT
2024-11-11 00:00:00+05:30,24087.25,24336.8,24004.6,24141.3,0,24464.672012167688,24730.231210902,39.227068581446694,37.72415643918826,285.3883443888027,False,True,EXIT
2024-11-12 00:00:00+05:30,24225.8,24242.0,23839.15,23883.45,0,24411.83364742517,24697.024104592118,34.573873114031684,38.32896113235654,293.77846264674525,False,True,EXIT
2024-11-13 00:00:00+05:30,23822.45,23873.6,23509.6,23559.05,0,24334.30786129561,24652.39766911792,29.786632635722796,39.54140390588203,299.4978581719779,False,True,EXIT
2024-11-14 00:00:00+05:30,23542.15,23675.9,23484.15,23532.7,0,24261.434419359644,24608.48795660349,29.43016965585457,40.711581620044264,291.8015825882652,False,True,EXIT
2024-11-18 00:00:00+05:30,23605.3,23606.8,23350.4,23453.8,0,24188.013108508767,24563.206075952374,28.33665968942249,42.02759616674026,289.2728981176747,False,True,EXIT
2024-11-19 00:00:00+05:30,23529.55,23780.65,23464.8,23518.5,0,24127.148280462516,24522.23721022875,30.613420562481878,42.197455137527136,291.95697682355524,False,True,EXIT
2024-11-21 00:00:00+05:30,23488.45,23507.3,23263.15,23349.9,0,24056.489345875012,24476.26320198449,28.107429726306506,42.766741108507745,289.34219276472976,False,True,EXIT
2024-11-22 00:00:00+05:30,23411.8,23956.1,23359.0,23907.25,0,24042.922132613647,24453.94895876941,44.330702784729326,41.16104206009196,311.9748932815346,False,True,EXIT
2024-11-25 00:00:00+05:30,24253.55,24351.55,24135.45,24221.9,0,24059.19284783059,24444.848999601985,51.04684071088627,38.30541533472297,321.42668661856777,False,True,EXIT
2024-11-26 00:00:00+05:30,24343.3,24343.3,24125.4,24194.5,0,24071.49349802781,24435.031391774457,50.47576422171705,35.68431141488389,314.03192328866993,False,True,EXIT
